"Company Name",Website,City,Segment,"What they make","Revenue Band","Decision Maker","C1 Evidence","C2 Evidence","C3 Evidence","C4 Evidence","C5 Evidence","C6 Evidence",Score,Verdict,"Personalization Hook"
"Gennova Biopharmaceuticals",https://www.gennova.bio,Pune,Biotech,"mRNA vaccines and biologics",100-300Cr,"Sanjay Singh","Own manufacturing facility","Pune based","India’s first mRNA vaccine",Scientist-led,"Biotech growth sector","Recent expansion",95,"Strong Fit","India’s first mRNA vaccine developer"
"Enzene Biosciences",https://www.enzene.com,Pune,"Biologics CDMO","biologics manufacturing platform",100-300Cr,"Leadership team","Manufacturing platform","Pune presence","Automated biologics system","Technical leadership","Biologics demand growth","Facility expansion",85,Fit,"Automated biologics manufacturing"
"BVG Life Sciences",https://www.bvglifesciences.com,Pune,Biotech,"vaccine production",100-300Cr,"Hanmantrao Gaikwad","Manufacturing vaccines","Pune based","PPP vaccine initiative","Moderate technical","Healthcare growth","Government projects",80,Fit,"PPP vaccine manufacturing initiative"
"GenePath Diagnostics",https://www.genepathdx.com,Pune,Diagnostics,"genetic testing",30-100Cr,Founder-led,"Testing lab setup","Pune presence","Genomics testing","Moderate technical","Diagnostics growth","Active services",75,Fit,"Advanced genomics testing"
"VLP Therapeutics India",https://www.vlptx.com,Pune,Biotech,"VLP vaccines",<100Cr,"Scientific founders","Manufacturing vaccines","Pune ops","VLP technology","Strong technical","Biotech growth","Research expansion",85,Fit,"Innovative VLP vaccine platform"
"Molbio Diagnostics",https://www.molbiodiagnostics.com,India,Diagnostics,"molecular diagnostic kits",100-300Cr,"Technical founder","Own manufacturing","India presence","Portable PCR tech","Strong technical","Diagnostics demand","Product expansion",90,"Strong Fit","Portable molecular diagnostics"
"HiMedia Laboratories",https://www.himedialabs.com,India,Biotech,"microbiology products",100-300Cr,Founder-led,"Manufacturing lab products","India presence","Wide product range","Moderate technical","Biotech demand","Global exports",80,Fit,"Leading microbiology media producer"
"Transasia Bio-Medicals",https://www.transasia.co.in,India,Diagnostics,"diagnostic equipment",300-500Cr,Founder-led,"Manufacturing equipment","India HQ","Proprietary tech","Moderate technical","Healthcare growth",Exports,80,Fit,"Global diagnostics company"
"Rossari Biotech",https://www.rossari.com,India,"Specialty chemicals","enzyme & biotech chemicals",100-300Cr,Founder-led,"Manufacturing chemicals","India ops","Specialty chemicals","Moderate technical","Industry demand","IPO growth",80,Fit,"Specialty chemicals innovation"
"Ayugen Biosciences",https://www.ayugen.com,Pune,Biotech,"drug discovery services",<100Cr,Founder-led,"Lab presence","Pune ops","Research services","Moderate technical","Biotech growth","Active research",70,Borderline,"Drug discovery focus"
"Sava Healthcare",https://www.savahealthcare.com,Pune,Pharma,"pharma manufacturing",100-300Cr,Founder-led,Manufacturing,"Pune ops","Moderate differentiation","Moderate technical","Pharma growth",Exports,70,Fit,"Export pharma manufacturing"
"Indoco Remedies",https://www.indoco.com,Pune,Pharma,formulations,300-500Cr,Promoter-led,Manufacturing,"Pune ops","Moderate diff","Moderate technical","Pharma growth",Exports,70,Fit,"Export pharma company"
"Nulife Pharmaceuticals",https://www.nulife.co.in,Pune,Pharma,"pharma products",100-300Cr,Founder-led,Manufacturing,"Pune ops","Low differentiation","Moderate technical","Pharma sector","Limited growth",65,Borderline,"Domestic pharma company"
"Serum Institute of India",https://www.seruminstitute.com,Pune,Biotech,vaccines,>500Cr,"Adar Poonawalla",Manufacturing,"Pune HQ","Highly differentiated","Moderate technical","Biotech growth",Expansion,90,Rejected,"Too large for ICP"
Cipla,https://www.cipla.com,India,Pharma,pharmaceuticals,>500Cr,Corporate,Manufacturing,"India ops","Moderate diff","Moderate technical","Pharma growth","Global ops",80,Rejected,"Too large"
IQVIA,https://www.iqvia.com,Global,Healthcare,"analytics services",>500Cr,Corporate,"Service company","Global ops",Analytics,Moderate,"Healthcare growth",Global,60,Rejected,"Not a manufacturer"
"Accutest Research Labs",https://www.accutestglobal.com,India,CRO,"testing services",<100Cr,Corporate,"Service lab","India ops",Service,CRO,Moderate,"Limited growth",55,Rejected,"Service company"
"Thermo Fisher Scientific",https://www.thermofisher.com,Global,Biotech,"lab equipment",>500Cr,Corporate,Manufacturing,Global,"Advanced tech",Moderate,"Global growth",Expansion,85,Rejected,"Not MSME India"
